frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1,person,0.263,29.48,1,,620.09,none
2,bench,0.261,28.8,1,,366.58,none
3,person,0.289,30.83,1,,330.03,none
4,person,0.278,30.19,1,,347.71,none
5,person,0.26,30.15,1,,347.19,none
6,person,0.256,28.81,1,,335.69,none
7,person,0.252,30.57,1,,332.5,none
8,person,0.268,28.46,1,,334.06,none
9,person,0.253,28.98,1,,320.07,none
10,person,0.268,29.48,1,,323.1,none
11,person,0.321,30.04,1,,310.07,none
12,person,0.312,29.89,1,,319.3,none
13,person,0.299,29.1,1,,319.39,none
14,person,0.277,28.82,1,,307.59,none
15,person,0.266,28.27,1,,312.91,none
16,person,0.254,27.87,1,,324.71,none
17,person,0.314,28.76,1,,319.22,none
18,potted plant,0.29,19.39,1,,320.41,none
19,potted plant,0.31,22.34,1,,310.91,none
20,potted plant,0.356,20.7,1,,312.19,none
21,bench,0.266,26.39,1,,323.14,none
22,person,0.272,26.48,1,,323.5,none
23,bench,0.286,24.09,1,,321.73,none
24,person,0.262,26.83,1,,312.41,none
25,person,0.32,27.6,1,,323.16,none
26,person,0.306,28.17,1,,315.74,none
27,person,0.254,27.88,1,,316.8,none
28,person,0.31,27.59,1,,323.03,none
29,person,0.309,26.69,1,,311.88,none
30,person,0.259,26.91,1,,311.83,none
31,person,0.26,26.82,1,,318.69,none
32,person,0.254,27.62,1,,300.32,none
33,bench,0.275,3.94,1,move right,318.54,right
34,bench,0.27,24.74,1,,336.89,none
35,bench,0.25,25.29,1,,325.04,none
36,person,0.282,27.71,1,,322.91,none
37,person,0.271,27.76,1,,336.7,none
38,person,0.254,28.67,1,,340.76,none
39,potted plant,0.261,16.8,1,,339.05,none
40,person,0.271,28.19,1,,308.64,none
41,person,0.304,26.44,1,,303.06,none
42,person,0.271,26.12,1,,301.95,none
43,bench,0.308,25.6,1,,316.11,none
44,bench,0.306,24.75,1,,323.42,none
45,person,0.269,25.02,1,,321.31,none
