frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1,person,0.263,29.48,0,,587.42,none
2,bench,0.261,28.8,0,,366.93,none
3,person,0.289,30.83,0,,336.89,none
4,person,0.278,30.19,0,,325.88,none
5,person,0.26,30.15,0,,333.49,none
6,person,0.256,28.81,0,,325.51,none
7,person,0.252,30.57,0,,321.8,none
8,person,0.268,28.46,0,,327.11,none
9,person,0.253,28.98,0,,324.35,none
10,person,0.268,29.48,0,,329.43,none
11,person,0.321,30.04,0,,319.46,none
12,person,0.312,29.89,0,,323.8,none
13,person,0.299,29.1,0,,320.76,none
14,person,0.277,28.82,0,,314.89,none
15,person,0.266,28.27,0,,323.5,none
16,person,0.254,27.87,0,,323.23,none
17,person,0.314,28.76,0,,324.48,none
18,potted plant,0.29,19.39,0,,325.27,none
19,potted plant,0.31,22.34,0,,324.16,none
20,potted plant,0.356,20.7,0,,322.79,none
21,bench,0.266,26.39,0,,324.03,none
22,person,0.272,26.48,0,,320.51,none
23,bench,0.286,24.09,0,,329.4,none
24,person,0.262,26.83,0,,325.75,none
25,person,0.32,27.6,0,,324.59,none
26,person,0.306,28.17,0,,327.58,none
27,person,0.254,27.88,0,,323.14,none
28,person,0.31,27.59,0,,323.88,none
29,person,0.309,26.69,0,,313.79,none
30,person,0.259,26.91,0,,312.78,none
31,person,0.26,26.82,0,,308.67,none
32,person,0.254,27.62,0,,299.7,none
33,bench,0.275,3.94,0,move right,311.0,right
34,bench,0.27,24.74,0,,303.78,none
35,bench,0.25,25.29,0,,317.91,none
36,person,0.282,27.71,0,,312.76,none
37,person,0.271,27.76,0,,323.46,none
38,person,0.254,28.67,0,,325.7,none
39,potted plant,0.261,16.8,0,,323.37,none
40,person,0.271,28.19,0,,311.79,none
41,person,0.304,26.44,0,,313.69,none
42,person,0.271,26.12,0,,308.37,none
43,bench,0.308,25.6,0,,313.47,none
44,bench,0.306,24.75,0,,321.42,none
45,person,0.269,25.02,0,,332.42,none
46,person,0.378,27.21,0,,308.07,none
47,person,0.251,25.98,0,,316.93,none
