frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1,person,0.263,29.48,0,[FAST MODE - HIGH CONF],2004.37,left
2,bench,0.261,28.8,0,[FAST MODE - HIGH CONF],274.01,left
3,person,0.289,30.83,0,[FAST MODE - HIGH CONF],229.04,left
4,person,0.278,30.19,0,[FAST MODE - HIGH CONF],183.79,left
5,person,0.26,30.15,0,[FAST MODE - HIGH CONF],207.77,left
6,person,0.256,28.81,0,[FAST MODE - HIGH CONF],209.19,left
7,person,0.252,30.57,0,[FAST MODE - HIGH CONF],239.35,left
8,person,0.268,28.46,0,[FAST MODE - HIGH CONF],195.33,left
9,person,0.253,28.98,0,[FAST MODE - HIGH CONF],202.3,left
10,person,0.268,29.48,0,[FAST MODE - HIGH CONF],206.35,left
11,person,0.321,30.04,0,[FAST MODE - HIGH CONF],264.57,left
12,person,0.312,29.89,0,[FAST MODE - HIGH CONF],171.12,left
13,person,0.299,29.1,0,[FAST MODE - HIGH CONF],169.34,left
14,person,0.277,28.82,0,[FAST MODE - HIGH CONF],205.92,left
15,person,0.266,28.27,0,[FAST MODE - HIGH CONF],215.29,left
16,person,0.254,27.87,0,[FAST MODE - HIGH CONF],200.46,left
17,person,0.314,28.76,0,[FAST MODE - HIGH CONF],204.62,left
18,potted plant,0.29,19.39,0,[FAST MODE - HIGH CONF],207.16,left
19,potted plant,0.31,22.34,0,[FAST MODE - HIGH CONF],245.53,left
20,potted plant,0.356,20.7,0,[FAST MODE - HIGH CONF],200.55,left
21,bench,0.266,26.39,0,[FAST MODE - HIGH CONF],183.06,left
22,person,0.272,26.48,0,[FAST MODE - HIGH CONF],201.75,left
23,bench,0.286,24.09,0,[FAST MODE - HIGH CONF],186.08,left
24,person,0.262,26.83,0,[FAST MODE - HIGH CONF],184.72,left
25,person,0.32,27.6,0,[FAST MODE - HIGH CONF],203.87,left
26,person,0.306,28.17,0,[FAST MODE - HIGH CONF],203.17,left
27,person,0.254,27.88,0,[FAST MODE - HIGH CONF],189.06,left
28,person,0.31,27.59,0,[FAST MODE - HIGH CONF],175.7,left
29,person,0.309,26.69,0,[FAST MODE - HIGH CONF],170.62,left
30,person,0.259,26.91,0,[FAST MODE - HIGH CONF],200.16,left
