frame_idx,source_env,source_file,yolo_max_conf,detected_classes,status,vlm_response,latency_ms,usage_ratio
1,custom,trial_x_0.5_raw.mp4,0.5117,tv,YOLO_ONLY,N/A,0,0.0000
2,custom,trial_x_0.5_raw.mp4,0.5115,chair,YOLO_ONLY,N/A,0,0.0000
3,custom,trial_x_0.5_raw.mp4,0.6424,chair,YOLO_ONLY,N/A,0,0.0000
4,custom,trial_x_0.5_raw.mp4,0.4504,chair,VLM_TRIGGERED,PENDING...,0,0.0000
4,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,21.9,0.2500
5,custom,trial_x_0.5_raw.mp4,0.5557,person;bottle;tv,YOLO_ONLY,N/A,0,0.2000
6,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1667
7,custom,trial_x_0.5_raw.mp4,0.3791,refrigerator,VLM_TRIGGERED,PENDING...,0,0.1429
7,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,5.2,0.2857
8,custom,trial_x_0.5_raw.mp4,0.2576,person,VLM_TRIGGERED,PENDING...,0,0.2500
8,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,5.1,0.3750
9,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
10,custom,trial_x_0.5_raw.mp4,0.3569,bottle,VLM_TRIGGERED,PENDING...,0,0.3000
10,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,5.9,0.4000
11,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3636
12,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
13,custom,trial_x_0.5_raw.mp4,0.5843,tv,YOLO_ONLY,N/A,0,0.3077
14,custom,trial_x_0.5_raw.mp4,0.2555,tv,VLM_TRIGGERED,PENDING...,0,0.2857
14,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.4,0.3571
15,custom,trial_x_0.5_raw.mp4,0.3271,tv,VLM_TRIGGERED,PENDING...,0,0.3333
