threshold,latency,usage,user_score,reward
0.1,0,0,1.6,0.8
0.5,3714.527667,0.046511628,5.9,1.71744186
0.9,0,0,1,0.5
0.59,4053.24015,0.091954023,4.5,0.790229885
0.480705966,3061.137259,0.091954023,5.5,1.290229885
0.514758095,3170.544994,0.345238095,5.5,0.023809524
0.494779034,3981.861582,0.297619048,2.2,-1.388095238
0.403874306,4637.734318,0.05952381,6.5,1.952380952
0.339173076,4472.25431,0.081395349,7.9,2.543023256
0.267100187,3875.308037,0.011904762,2.2,0.04047619
0.368684104,4024.818962,0.126436782,9,2.867816092
0.362465756,3631.037156,0.031914894,9,3.340425532
0.36499055,2927.674294,0.007352941,9,3.4632352940.3636826136307425
0.3637,4189.42132,0.057471264,9,3.212643678
