threshold,latency,usage,user_score,reward
0.1,18263.098001480103,0.007042253521126761,5.0,1.4647887323943662
0.3,11903.111696243286,0.01098901098901099,9.0,3.4450549450549453
0.5,10438.90106678009,0.02247191011235955,5.0,1.3876404494382022
0.75,10452.233910560608,0.025,4.0,0.875
0.9,10477.816104888916,0.024390243902439025,1.0,-0.6219512195121952
0.295,12842.077255249023,0.010309278350515464,8.5,3.198453608247423
0.335,12252.919435501099,0.011111111111111112,9.0,3.4444444444444446
0.34,10438.276171684265,0.020202020202020204,8.0,2.898989898989899
0.275,12139.941215515137,0.010869565217391304,8.5,3.1956521739130435
0.29,10354.962348937988,0.022727272727272728,9.0,3.3863636363636362
0.29,10428.660154342651,0.022727272727272728,9.0,3.3863636363636362
0.295,13196.969747543335,0.009523809523809525,7.0,2.4523809523809526
0.295,12652.923107147217,0.01098901098901099,5.0,1.445054945054945
0.305,10278.971672058105,0.021505376344086023,6.0,1.89247311827957
0.305,12713.086605072021,0.010416666666666666,9.0,3.447916666666667
0.305,12944.580554962158,0.01020408163265306,9.0,3.4489795918367347
0.305,13043.588876724243,0.00980392156862745,9.0,3.450980392156863
