threshold,latency,usage,user_score,reward
0.1,0,0,1,0.5
0.5,4272.058623,0.541871921,5,-1.209359606
0.9,3284.079909,0.111111111,2,-0.555555556
0.985751255,3186.453308,0.081395349,1,-0.906976744
0.847662661,4873.050809,0.022222222,2.4,0.088888889
0.806959058,4651.106566,0.075471698,2,-0.377358491
0.853642843,3037.412127,0.111111111,1.4,-0.855555556
0.762253512,3051.693141,0.075471698,2.6,-0.077358491
0.837169933,3015.491982,0.111111111,1.2,-0.955555556
0.719017244,3435.508694,0.066037736,5.6,1.469811321
0.683207595,3017.348834,0.081395349,5.8,1.493023256
0.67395374,3021.397538,0.083333333,5.9,1.533333333
0.672716893,3267.25822,0.083333333,6.5,1.833333333
0.663052792,5024.609366,0.544117647,6.8,-0.320588235
0.702728301,4779.964022,0.544117647,5.5,-0.970588235
0.656578223,3262.03524,0.127906977,6.9,1.810465116
0.64324505,4457.913928,0.497536946,7,0.012315271
0.665666402,3505.522988,0.127906977,6.9,1.810465116
0.659634446,3550.695539,0.063157895,7,2.184210526
0.650008462,3143.40539,0.162037037,7.2,1.789814815
0.654077074,3231.546688,0.11627907,7.4,2.118604651
