threshold,latency,usage,user_score,reward
0.1,19918.26653,0.008928571,5,1.455357143
0.5,12870.85104,0.012820513,8,2.935897436
0.655,19284.33824,0.010416667,1,-0.552083333
0.355,12275.19059,0.010869565,7,2.445652174
0.43,19378.59869,0.016129032,8,2.919354839
0.455,12954.32377,0.00952381,8.2,3.052380952
0.47,10094.81204,0.026666667,7,2.366666667
0.43,10364.86733,0.023529412,8,2.882352941
0.43,10549.83485,0.018867925,8,2.905660377
0.43,12443.47095,0.010526316,8,2.947368421
0.43,12840.41691,0.01,8,2.95
