threshold,latency,usage,user_score,reward
0.1,12619.978189468384,0.010638297872340425,5.0,1.4787234042553192
0.5,12311.42258644104,0.0125,6.0,1.975
0.9,10583.028554916382,0.024691358024691357,2.0,-0.04938271604938271
0.54,12392.683744430542,0.012987012987012988,6.0,1.974025974025974
0.13,12224.015235900879,0.011904761904761904,8.0,2.9761904761904763
0.72,10552.330732345581,0.023809523809523808,2.0,-0.04761904761904767
0.47,10409.369111061096,0.024096385542168676,7.0,2.451807228915663
0.16,10393.463969230652,0.024390243902439025,6.0,1.951219512195122
0.26,12445.067644119263,0.008928571428571428,8.0,2.982142857142857
0.72,18832.988739013672,0.008,2.0,-0.016000000000000014
0.39,12367.472887039185,0.012195121951219513,8.0,2.975609756097561
