threshold,latency,usage,user_score,reward
0.1,5024.896145,0.03260869565,3,-0.09011353617
0.5,5013.332129,0.03488372093,7,-2.08309957
0.9,5025.593996,0.02941176471,1,-4.084417525
0.35,5000.5556677,0.01948051948,8,3.961038961
0.45,7319.97025,0.02272727273,7,-3.865424796
0.27,7450.068235,0.01869158879,4,-5.487451413
0.66,7141.309619,0.02197802198,4,-3.685265663
0.44,7176.526546,0.02150537634,9,-2.719537299
0.2,7035.580158,0.0206185567,2,-6.076817272
0.81,7631.794333,0.02597402597,2,-6.683742385
0.63,7322.604895,0.025,3,-5.872604895
0.21,19148.4818458557,0.007142857142857,5,1.48571428571429
0.37,12114.906787872314,0.009615384615384616,8.0,2.980769230769231
0.45,18122.763633728027,0.007042253521126761,4.0,0.9859154929577465
0.41,10382.038831710815,0.022222222222222223,4.0,0.9555555555555555
0.41,13053.614377975464,0.011111111111111112,8.0,2.977777777777778
0.25,12591.506719589233,0.01098901098901099,9.0,3.478021978021978
0.19,13008.694648742676,0.009900990099009901,5.0,1.4801980198019802
0.18,12426.978349685669,0.01020408163265306,4.0,0.9795918367346939
0.8,10449.475884437561,0.024096385542168676,2.0,-0.04819277108433728
0.61,10466.320395469666,0.024096385542168676,2.0,-0.04819277108433728
0.8,10462.491512298584,0.024096385542168676,2.0,-0.04819277108433728
0.21,12610.535144805908,0.012195121951219513,9.0,3.475609756097561
0.41,12297.688007354736,0.014285714285714285,4.0,0.9714285714285715
