epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.07652,1.50591,3.35013,1.7121,0,0,0,0,0,65.9949,0,1.429e-05,1.429e-05,1.429e-05
2,15.6659,1.09706,3.13605,1.44176,0,0,0,0,0,65.9664,0,4.28281e-05,4.28281e-05,4.28281e-05
3,23.5003,1.18027,3.13522,1.47449,0,0,0,0,0,65.8696,0,7.11711e-05,7.11711e-05,7.11711e-05
4,31.8346,0.93681,2.94903,1.31442,0,0,0,0,0,65.6779,0,9.9153e-05,9.9153e-05,9.9153e-05
5,40.0875,0.94136,2.7572,1.27456,0,0,0,0,0,65.4496,0,0.00012661,0.00012661,0.00012661
6,47.9327,0.94255,2.52381,1.2731,0,0,0,0,0,65.3133,0,0.000153382,0.000153382,0.000153382
7,55.8699,0.86015,2.23866,1.21731,0,0,0,0,0,65.3686,0,0.000179313,0.000179313,0.000179313
8,63.8638,0.90646,1.91456,1.22851,0,0,0,0,0,65.416,0,0.000204252,0.000204252,0.000204252
9,71.5846,0.86136,1.61072,1.1996,0,0,0,0,0,65.2495,0,0.000228056,0.000228056,0.000228056
10,79.2765,0.83674,1.53103,1.20383,0,0,0,0,0,64.3179,0,0.000250588,0.000250588,0.000250588
11,86.9948,0.89992,1.44516,1.20557,0,0,0,0,0,62.8601,0,0.000271721,0.000271721,0.000271721
12,94.1875,0.88682,1.44658,1.18087,0,0,0,0,0,61.1046,0,0.000291334,0.000291334,0.000291334
13,101.768,0.90332,1.36336,1.27662,0,0,0,0,0,59.917,0,0.000309321,0.000309321,0.000309321
1,8.71782,1.41484,3.32612,1.65343,0.00704,0.66582,0.15717,0.08552,1.36377,3.43819,1.55675,4.287e-05,4.287e-05,4.287e-05
2,17.1005,1.03947,3.05678,1.384,0.00735,0.69613,0.49288,0.37185,0.78392,3.2563,1.09046,9.96396e-05,9.96396e-05,9.96396e-05
3,25.4485,0.9458,2.82367,1.29513,0.00842,0.70875,0.55643,0.44445,0.74849,3.18608,1.06608,0.000154745,0.000154745,0.000154745
4,33.6367,0.91407,2.5355,1.26448,0.00985,0.79966,0.60185,0.47966,0.7616,3.07029,1.07412,0.000206899,0.000206899,0.000206899
5,41.9269,0.90275,2.22248,1.22454,0.01007,0.84512,0.60761,0.48396,0.84265,2.86335,1.19256,0.000254886,0.000254886,0.000254886
6,50.2523,0.88494,1.85784,1.23406,0.01003,0.85101,0.59624,0.45753,0.942,2.72985,1.26576,0.000297599,0.000297599,0.000297599
7,58.6519,0.95988,1.74302,1.27541,0.90058,0.5003,0.58395,0.40746,1.12763,2.53917,1.46428,0.000334067,0.000334067,0.000334067
8,66.9678,0.93536,1.5173,1.22281,0.93414,0.4199,0.6043,0.42895,1.11358,2.52197,1.41552,0.000363484,0.000363484,0.000363484
9,75.165,0.8696,1.48539,1.23344,0.94985,0.3619,0.61763,0.44068,1.14365,2.57403,1.37357,0.000385233,0.000385233,0.000385233
10,83.3973,0.97728,1.28423,1.22264,0.96557,0.37439,0.60956,0.43126,1.17046,2.56598,1.37525,0.000398901,0.000398901,0.000398901
