epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.339,1.53972,6.86732,3.1485,1.72528,0.00683,0.61111,0.44321,0.27175,0.00553,0.48925,0.3586,0.13921,1.46691,9.88249,3.28176,1.95018,4.287e-05,4.287e-05,4.287e-05
2,24.3798,1.26232,4.82591,2.97629,1.50696,0.70874,0.37664,0.43629,0.28063,0.64974,0.33662,0.37029,0.15323,1.39831,7.69843,3.07283,1.78349,9.96396e-05,9.96396e-05,9.96396e-05
3,36.494,1.26485,3.83926,2.86845,1.55145,1,0.15916,0.39838,0.27796,1,0.15916,0.35289,0.16454,1.33728,7.5559,3.01874,1.6083,0.000154745,0.000154745,0.000154745
4,48.2361,1.13763,3.08485,2.65526,1.43251,0.96726,0.23656,0.3121,0.20849,0.96726,0.23656,0.30594,0.18722,1.38108,5.06505,2.94564,1.57147,0.000206899,0.000206899,0.000206899
5,59.9743,1.04993,2.7197,2.49716,1.36039,0.94959,0.29032,0.35697,0.21095,0.94959,0.29032,0.35441,0.2415,1.35816,3.26666,2.74108,1.57454,0.000254886,0.000254886,0.000254886
6,71.8036,1.11031,2.593,2.28318,1.40116,0.9883,0.2958,0.40416,0.24944,0.9883,0.2958,0.39683,0.27708,1.23338,2.88127,2.52416,1.49242,0.000297599,0.000297599,0.000297599
7,83.3489,1.07696,2.50529,2.15709,1.32813,0.85868,0.35812,0.44492,0.29737,0.85868,0.35812,0.44225,0.29776,1.19399,2.57281,2.2252,1.43764,0.000334067,0.000334067,0.000334067
8,94.5199,1.12918,2.35917,1.9474,1.35525,0.67664,0.47849,0.45153,0.31881,0.69249,0.49874,0.44481,0.30019,1.15387,2.58277,2.13043,1.3658,0.000363484,0.000363484,0.000363484
9,106.006,0.9852,2.23441,1.79603,1.31685,0.87749,0.60196,0.62388,0.41846,0.8661,0.56705,0.59746,0.40828,1.15131,2.53435,1.96465,1.36297,0.000385233,0.000385233,0.000385233
10,117.78,1.08476,2.23607,1.61868,1.3249,0.94112,0.63441,0.69574,0.45553,0.93218,0.62515,0.6605,0.43376,1.18098,2.5522,1.75519,1.37085,0.000398901,0.000398901,0.000398901
